MajorityproteinIDs,Fastaheaders,Score,id,UniProt ID,genesymbol,description,s200,s201,s202,s203,s204,s400,s401,s402,s503,s504,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR
A0A2I3BRL8;Q91VM5,"tr|A0A2I3BRL8|A0A2I3BRL8_MOUSE Predicted gene 7324 OS=Mus musculus OX=10090 GN=Gm7324 PE=4 SV=1;sp|Q91VM5|RMXL1_MOUSE RNA binding motif protein, X-linked-like-1 OS=Mus musculus OX=10090 GN=Rbmxl1 PE=2 SV=1",5.9216,14,A0A2I3BRL8,Gm7324,Predicted gene 7324,15.29723362,15.61915884,15.65924965,15.23410588,15.68728005,15.92840794,15.53511923,15.48322818,14.78260385,15.25608196,0.102317373,-0.321895153,0.526529899,15.44824692,0.535979655,-4.960450787,0.603462234,0.999980519,0,0
A0A2R8VKG2,tr|A0A2R8VKG2|A0A2R8VKG2_MOUSE RIKEN cDNA D430041D05 gene OS=Mus musculus OX=10090 GN=D430041D05Rik PE=1 SV=1,18.381,15,A0A2R8VKG2,D430041D05Rik,RIKEN cDNA D430041D05 gene,15.08843816,15.25731746,14.83595587,15.40510812,15.27117708,15.3466342,15.18006411,15.29512654,15.64138796,14.43045868,-0.00713496,-0.456693076,0.442423156,15.17516682,-0.035268591,-5.052842771,0.972546168,0.999980519,0,0
A0A338P6I9,"tr|A0A338P6I9|A0A338P6I9_MOUSE Predicted gene, 56451 OS=Mus musculus OX=10090 GN=Gm56451 PE=1 SV=1",5.5526,16,A0A338P6I9,Gm56451,"Predicted gene, 56451",14.89663276,14.87937031,14.80523775,14.52639766,14.70042384,14.79187309,14.86456249,14.92270602,14.54235241,14.77321871,-0.01733008,-0.220122239,0.185462079,14.77027751,-0.189515846,-5.041466427,0.853349952,0.999980519,0,0
A0A338P7C9,tr|A0A338P7C9|A0A338P7C9_MOUSE Transmembrane protein 181A OS=Mus musculus OX=10090 GN=Tmem181a PE=1 SV=1,1.7624,17,A0A338P7C9,Tmem181a,Transmembrane protein 181A,9.786584321,9.240477912,10.33962168,10.62858108,9.53349151,9.903532033,10.28106956,NA,10.33286504,10.27691344,-0.292843719,-0.895483081,0.309795642,10.03590406,-1.095608623,-4.670806666,0.301097423,0.999980519,0,0
A0A571BF58,tr|A0A571BF58|A0A571BF58_MOUSE Nebulin OS=Mus musculus OX=10090 GN=Neb PE=1 SV=1,3.3244,18,A0A571BF58,Neb,Nebulin,18.35874911,18.43419321,18.40141608,18.17013091,18.56895894,18.61201952,18.26223372,18.20954528,18.20516511,18.15580094,0.097736736,-0.124063137,0.319536609,18.33782128,0.977414784,-4.757968916,0.350666839,0.999980519,0,0
A0A5F8MPH8,tr|A0A5F8MPH8|A0A5F8MPH8_MOUSE Tenascin XB OS=Mus musculus OX=10090 GN=Tnxb PE=1 SV=1,2.2055,19,A0A5F8MPH8,Tnxb,Tenascin XB,17.37895855,17.27150577,17.070796,17.21773541,17.16560567,17.28934046,17.04808845,17.40830423,17.20034969,17.05745681,0.020212353,-0.168346745,0.208771451,17.2108141,0.237719882,-5.034733968,0.81673356,0.999980519,0,0
A0A5F8MPI9,tr|A0A5F8MPI9|A0A5F8MPI9_MOUSE Rap guanine nucleotide exchange factor (GEF) 1 OS=Mus musculus OX=10090 GN=Rapgef1 PE=1 SV=1,12.083,20,A0A5F8MPI9,Rapgef1,Rap guanine nucleotide exchange factor (GEF) 1,13.07796812,12.96154736,12.87781511,12.87429067,12.36466662,12.51446629,12.1791121,12.57183742,12.34468144,12.7212926,0.364979605,0.05011544,0.679843771,12.64876777,2.57589272,-3.542300147,0.027209609,0.999980519,0,0
A0A5F8MQ13,tr|A0A5F8MQ13|A0A5F8MQ13_MOUSE Transmembrane protein 178B OS=Mus musculus OX=10090 GN=Tmem178b PE=1 SV=1,1.9024,21,A0A5F8MQ13,Tmem178b,Transmembrane protein 178B,12.20892782,11.80670521,11.89471997,11.47396229,12.17478793,11.72538034,12.34905461,12.17558763,12.03651593,11.85245169,-0.115977397,-0.469240591,0.237285796,11.96980934,-0.729553891,-4.884093108,0.482078527,0.999980519,0,0
A0A991ELE1;Q05909,tr|A0A991ELE1|A0A991ELE1_MOUSE protein-tyrosine-phosphatase OS=Mus musculus OX=10090 GN=Ptprg PE=1 SV=1;sp|Q05909|PTPRG_MOUSE Receptor-type tyrosine-protein phosphatase gamma OS=Mus musculus OX=10090 GN=Ptprg PE=1 SV=1,17.509,22,A0A991ELE1,Ptprg,protein-tyrosine-phosphatase,15.91520491,16.29948775,16.16789836,16.09857957,16.23151795,16.04599436,15.96957089,16.30446106,16.44562391,15.81068345,0.027270973,-0.246235586,0.300777531,16.12890222,0.221490558,-5.037150666,0.8290694,0.999980519,0,0
A0A991ENW0,tr|A0A991ENW0|A0A991ENW0_MOUSE H1.10 linker histone OS=Mus musculus OX=10090 GN=H1f10 PE=1 SV=1,10.533,23,A0A991ENW0,H1f10,H1.10 linker histone,16.25468331,16.31252924,16.14432293,16.07634084,16.02564537,16.5285563,16.07146392,16.31858653,16.20857968,16.03237141,-0.069207228,-0.290830686,0.152416231,16.19730795,-0.692656783,-4.900363845,0.503776791,0.999980519,0,0
A1L3P4,sp|A1L3P4|SL9A6_MOUSE Sodium/hydrogen exchanger 6 OS=Mus musculus OX=10090 GN=Slc9a6 PE=1 SV=1,45.815,24,A1L3P4,Slc9a6,Sodium/hydrogen exchanger 6,14.88661915,15.15731182,15.25997324,15.18692646,15.13211395,15.22568462,15.2107955,15.10893339,15.07882505,15.29375773,-0.059010335,-0.228063979,0.110043309,15.15409409,-0.774104619,-4.863785841,0.456169881,0.999980519,0,0
A2A432,sp|A2A432|CUL4B_MOUSE Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1,55.595,25,A2A432,Cul4b,Cullin-4B,16.87938408,16.76498937,16.73054724,16.89364486,16.88355136,16.67582545,16.94606228,16.78311354,16.89128382,17.01693819,-0.032221274,-0.192698457,0.128255909,16.84653402,-0.445272148,-4.988893927,0.665282358,0.999980519,0,0
A2A5R2,sp|A2A5R2|BIG2_MOUSE Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus OX=10090 GN=Arfgef2 PE=1 SV=1,53.448,26,A2A5R2,Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,18.34885231,18.42008015,18.33229018,18.41960954,18.43688555,18.17036421,18.41997069,18.35284861,18.50239782,18.33150115,0.03612705,-0.107689909,0.17994401,18.37348002,0.557081222,-4.953260334,0.589303134,0.999980519,0,0
A2A690,sp|A2A690|TANC2_MOUSE Protein TANC2 OS=Mus musculus OX=10090 GN=Tanc2 PE=1 SV=1,40.135,27,A2A690,Tanc2,Protein TANC2,16.77265523,16.94779047,16.91577768,16.99312774,16.79916918,16.92103797,16.93521355,17.06482251,17.22572728,17.06709902,-0.157076009,-0.318273671,0.004121653,16.96424206,-2.160962529,-3.881411069,0.055095843,0.999980519,0,0
A2A699,sp|A2A699|F1712_MOUSE Protein FAM171A2 OS=Mus musculus OX=10090 GN=Fam171a2 PE=1 SV=1,34.306,28,A2A699,Fam171a2,Protein FAM171A2,14.30242962,13.98710637,14.04933049,14.36513108,14.13671742,14.22529808,14.05519206,14.14099112,14.47704294,14.45585244,-0.102732334,-0.336161818,0.13069715,14.21950916,-0.976487341,-4.758476015,0.351155576,0.999980519,0,0
A2A6Q5,sp|A2A6Q5|CDC27_MOUSE Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27 PE=1 SV=1,5.5488,29,A2A6Q5,Cdc27,Cell division cycle protein 27 homolog,11.93191488,10.67801613,11.74530453,11.57424437,11.47821062,12.098031,11.95107572,11.7621305,12.00170427,11.73860915,-0.428772025,-0.881824971,0.024280922,11.69592412,-2.103099855,-3.931799451,0.06121707,0.999980519,0,0
A2A8L5,sp|A2A8L5|PTPRF_MOUSE Receptor-type tyrosine-protein phosphatase F OS=Mus musculus OX=10090 GN=Ptprf PE=1 SV=1,2.8892,30,A2A8L5,Ptprf,Receptor-type tyrosine-protein phosphatase F,9.655567202,9.949969352,10.25404686,9.3261139,9.271819824,9.417299136,10.32901061,9.591878451,10.23762056,NA,-0.202448759,-0.78321993,0.378322411,9.781480655,-0.785935836,-4.832027455,0.451669321,0.999980519,0,0
A2A8R0,tr|A2A8R0|A2A8R0_MOUSE Zinc finger FYVE domain-containing protein OS=Mus musculus OX=10090 GN=Zfyve9 PE=1 SV=1,3.2708,31,A2A8R0,Zfyve9,Zinc finger FYVE domain-containing protein,11.97486715,12.51240867,12.25785451,12.82666497,11.91212507,12.19932976,11.82758964,12.17506788,11.78002794,12.75305416,0.149770199,-0.337175973,0.63671637,12.22189897,0.683481653,-4.904143615,0.50952835,0.999980519,0,0
A2A8U2,sp|A2A8U2|TM201_MOUSE Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201 PE=1 SV=1,7.9358,32,A2A8U2,Tmem201,Transmembrane protein 201,15.3822231,15.21793867,15.04247825,15.07834184,14.9808445,14.81508627,14.85725612,15.08287049,15.10043655,15.27814459,0.113606468,-0.120554697,0.347767633,15.08356204,1.076473542,-4.699607765,0.306234439,0.999980519,0,0
A2A8Z1,sp|A2A8Z1|OSBL9_MOUSE Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9 PE=1 SV=1,4.4513,33,A2A8Z1,Osbpl9,Oxysterol-binding protein-related protein 9,13.82032268,14.12997495,14.36241728,14.04187777,14.03202899,13.93333992,14.02302365,14.02809306,14.05675525,14.234294,0.022223157,-0.191891351,0.236337664,14.06621276,0.230173737,-5.03588688,0.822437875,0.999980519,0,0
A2AAE1,sp|A2AAE1|BLTP1_MOUSE Bridge-like lipid transfer protein family member 1 OS=Mus musculus OX=10090 GN=Bltp1 PE=1 SV=4,11.558,34,A2AAE1,Bltp1,Bridge-like lipid transfer protein family member 1,13.80996078,13.69013135,13.38185754,13.41397917,13.53641921,13.69983214,13.74472055,13.57317139,13.32594923,13.32980592,0.03177376,-0.21954745,0.283094971,13.55058273,0.28068326,-5.027455856,0.784524789,0.999980519,0,0
A2ADY9,sp|A2ADY9|DDI2_MOUSE Protein DDI1 homolog 2 OS=Mus musculus OX=10090 GN=Ddi2 PE=1 SV=1,27.313,35,A2ADY9,Ddi2,Protein DDI1 homolog 2,15.7507172,15.66864445,15.78848794,15.86711808,15.74788899,15.85199054,15.64710622,15.76894056,15.90347194,15.69725892,-0.009182306,-0.150358993,0.13199438,15.76916248,-0.144239734,-5.046418246,0.888078369,0.999980519,0,0
A2AF33;A2AF31,tr|A2AF33|A2AF33_MOUSE Thymosin beta OS=Mus musculus OX=10090 GN=Tmsb15b1 PE=1 SV=1;tr|A2AF31|A2AF31_MOUSE Thymosin beta OS=Mus musculus OX=10090 GN=Tmsb15b2 PE=1 SV=1,3.5674,36,A2AF33,Tmsb15b1,Thymosin beta,11.71790044,11.57393839,10.78966136,11.41957273,11.77574904,12.25918264,11.69978868,11.6213103,11.88613034,11.73673359,-0.385264716,-0.807961186,0.037431754,11.64799675,-2.025410357,-3.995648564,0.069786244,0.999980519,0,0
A2AG50,sp|A2AG50|MA7D2_MOUSE MAP7 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Map7d2 PE=1 SV=1,35.111,37,A2AG50,Map7d2,MAP7 domain-containing protein 2,17.19315458,17.28746524,17.16819691,17.2061591,17.34798588,17.52109776,17.07758462,17.32361776,17.10309666,17.13718097,0.00807679,-0.188334477,0.204488056,17.23655395,0.091194466,-5.050518321,0.9290772,0.999980519,0,0
A2AGL3,sp|A2AGL3|RYR3_MOUSE Ryanodine receptor 3 OS=Mus musculus OX=10090 GN=Ryr3 PE=1 SV=1,1.4935,38,A2AGL3,Ryr3,Ryanodine receptor 3,12.00191971,12.01784807,12.08717012,11.37002984,11.72000959,12.4442487,11.97555291,12.13717952,11.637713,12.41343189,-0.282229738,-0.684538738,0.120079263,11.98051033,-1.558925763,-4.366280091,0.149472813,0.999980519,0,0
A2AGT5,sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1,174.73,39,A2AGT5,Ckap5,Cytoskeleton-associated protein 5,19.78310562,19.82907757,19.77207141,19.83237814,19.90291762,19.88919315,19.73188694,19.86549471,19.9521391,19.80333691,-0.024500089,-0.146480882,0.097480703,19.83616012,-0.445422687,-4.988850977,0.665177078,0.999980519,0,0
A2AHC3,sp|A2AHC3|CAMP1_MOUSE Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1 PE=1 SV=1,11.939,40,A2AHC3,Camsap1,Calmodulin-regulated spectrin-associated protein 1,15.88188783,16.03438303,16.0017003,15.91461266,15.82948903,15.894358,15.88618749,15.80090176,16.05880322,15.99155412,0.006053651,-0.137264543,0.149371845,15.92938774,0.093672513,-5.0503678,0.927156087,0.999980519,0,0
A2AHG0,sp|A2AHG0|LZTS3_MOUSE Leucine zipper putative tumor suppressor 3 OS=Mus musculus OX=10090 GN=Lzts3 PE=1 SV=1,21.772,41,A2AHG0,Lzts3,Leucine zipper putative tumor suppressor 3,14.64811049,14.43987412,14.49597202,14.69018016,14.68110361,14.67302643,14.6273013,14.67595076,14.67552949,14.30469941,-0.000253395,-0.193562922,0.193056133,14.59117478,-0.002906967,-5.053249692,0.997735792,0.999980519,0,0
A2AIR5,"sp|A2AIR5|NMD3A_MOUSE Glutamate receptor ionotropic, NMDA 3A OS=Mus musculus OX=10090 GN=Grin3a PE=1 SV=1",3.4179,42,A2AIR5,Grin3a,"Glutamate receptor ionotropic, NMDA 3A",9.56925384,NA,9.885660371,9.625327231,9.78773642,NA,10.31337144,9.158297928,9.522832385,9.867696216,0.001444973,-0.51464082,0.517530767,9.716271979,0.006429044,-4.989324298,0.995024043,0.999980519,0,0
A2AJ72,tr|A2AJ72|A2AJ72_MOUSE Far upstream element (FUSE) binding protein 3 OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1,9.4881,43,A2AJ72,Fubp3,Far upstream element (FUSE) binding protein 3,14.35560691,14.39690394,14.12434642,14.42488867,14.38081547,14.38134397,14.44126388,14.6178295,14.65895345,14.2267642,-0.128718718,-0.334691608,0.077254172,14.40087164,-1.385886805,-4.493562679,0.194884479,0.999980519,0,0
A2AJA9,sp|A2AJA9|AJM1_MOUSE Apical junction component 1 homolog OS=Mus musculus OX=10090 GN=Ajm1 PE=1 SV=1,30.38,44,A2AJA9,Ajm1,Apical junction component 1 homolog,16.38106842,16.54739532,16.22957574,16.6139115,16.52985206,16.64512532,16.60697874,16.55238711,16.57572922,16.67065178,-0.149813828,-0.315335234,0.015707578,16.53526752,-2.007214802,-4.008575782,0.071522902,0.999980519,0,0
A2AJI0,sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1,67.275,45,A2AJI0,Map7d1,MAP7 domain-containing protein 1,17.46753341,17.35641507,17.46162519,17.36480159,17.53165972,17.58499823,17.31361739,17.33407124,17.27970529,17.43986366,0.045955835,-0.106982317,0.198893986,17.41342908,0.666378443,-4.911426467,0.519731405,0.999980519,0,0
A2AJT4,sp|A2AJT4|PNISR_MOUSE Arginine/serine-rich protein PNISR OS=Mus musculus OX=10090 GN=Pnisr PE=1 SV=1,6.0464,46,A2AJT4,Pnisr,Arginine/serine-rich protein PNISR,11.10434399,11.17593602,11.72026688,11.73949563,11.23628583,10.88548782,10.87505374,10.99645776,11.48622573,11.41532522,0.263555618,-0.122506302,0.649617537,11.26348786,1.517042414,-4.397804486,0.159615924,0.999980519,0,0
A2ALS5,sp|A2ALS5|RPGP1_MOUSE Rap1 GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Rap1gap PE=1 SV=2,41.801,47,A2ALS5,Rap1gap,Rap1 GTPase-activating protein 1,18.58068953,18.60722965,18.4943338,18.73090019,18.65850763,18.42407937,18.55877154,18.70791003,18.59707994,18.56645552,0.043472879,-0.102126337,0.189072096,18.59259572,0.662148629,-4.913169767,0.522331029,0.999980519,0,0
A2ALU4,sp|A2ALU4|SHRM2_MOUSE Protein Shroom2 OS=Mus musculus OX=10090 GN=Shroom2 PE=1 SV=1,28.758,48,A2ALU4,Shroom2,Protein Shroom2,18.26375164,18.26190366,18.24162551,18.31015017,18.25932188,18.64722035,18.32226955,18.33259085,18.3531599,18.33925471,-0.131548497,-0.28219863,0.019101636,18.33312482,-1.936477643,-4.066587523,0.080542819,0.999980519,0,0
A2AN08,sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1,108.61,49,A2AN08,Ubr4,E3 ubiquitin-protein ligase UBR4,18.02010587,17.96805326,18.09783365,18.09052322,18.04638861,18.069147,18.04207577,18.12570001,18.04716354,18.02533054,-0.017302451,-0.121173867,0.086568964,18.05323215,-0.369409195,-5.008772826,0.719261118,0.999980519,0,0
A2AP18,"sp|A2AP18|PLCH2_MOUSE 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 OS=Mus musculus OX=10090 GN=Plch2 PE=1 SV=2",68.568,50,A2AP18,Plch2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",18.16035863,18.03784712,18.24779445,18.05553399,18.08773056,18.38457666,18.16119033,18.27299572,18.12779484,18.55829819,-0.183118195,-0.374423453,0.008187064,18.20941205,-2.122759083,-3.913108566,0.058805376,0.999980519,0,0
A2APV2,sp|A2APV2|FMNL2_MOUSE Formin-like protein 2 OS=Mus musculus OX=10090 GN=Fmnl2 PE=1 SV=2,22.881,51,A2APV2,Fmnl2,Formin-like protein 2,17.28100476,17.27772698,17.23401583,17.16565861,17.15668025,17.25675682,17.2190863,17.25635761,17.38244771,17.3490256,-0.069717524,-0.187266609,0.047831562,17.25787604,-1.315281815,-4.543391819,0.216779116,0.999980519,0,0
A2APX8,sp|A2APX8|SCN1A_MOUSE Sodium channel protein type 1 subunit alpha OS=Mus musculus OX=10090 GN=Scn1a PE=1 SV=1,12.296,52,A2APX8,Scn1a,Sodium channel protein type 1 subunit alpha,15.2187123,15.22813941,14.94390193,15.24657214,15.31045428,15.1794927,15.02619182,15.2534491,15.00040042,15.18072182,0.061504843,-0.116944891,0.239954577,15.15880359,0.76434517,-4.86835364,0.461714721,0.999980519,0,0
A2APY7,"sp|A2APY7|NDUF5_MOUSE Arginine-hydroxylase NDUFAF5, mitochondrial OS=Mus musculus OX=10090 GN=Ndufaf5 PE=1 SV=1",3.3683,53,A2APY7,Ndufaf5,"Arginine-hydroxylase NDUFAF5, mitochondrial",12.09763411,11.21176937,11.42683785,12.16191142,11.31449516,NA,11.7523336,11.57149052,11.60129753,12.05489606,-0.102474843,-0.601108492,0.396158805,11.68807396,-0.463353773,-4.951863169,0.653875892,0.999980519,0,0
A2AQ25,sp|A2AQ25|SKT_MOUSE Sickle tail protein OS=Mus musculus OX=10090 GN=Skt PE=1 SV=1,62.758,54,A2AQ25,Skt,Sickle tail protein,18.00997814,18.09012742,17.71145531,18.06730769,18.00512969,18.1389309,17.87910449,18.07558712,18.19763859,17.76461891,-0.034376352,-0.259285997,0.190533293,17.99398782,-0.339026837,-5.01572988,0.741371021,0.999980519,0,0
A2AR50,sp|A2AR50|RGPS1_MOUSE Ras-specific guanine nucleotide-releasing factor RalGPS1 OS=Mus musculus OX=10090 GN=Ralgps1 PE=1 SV=2,1.6656,55,A2AR50,Ralgps1,Ras-specific guanine nucleotide-releasing factor RalGPS1,9.173120032,10.35139886,9.910061155,10.71388815,10.45914776,10.49266981,10.49032565,10.33264703,10.90979118,11.15347338,-0.554258215,-1.17143968,0.06292325,10.3986523,-1.995637586,-4.020027807,0.073361359,0.999980519,0,0
A2ARP1,sp|A2ARP1|VIP1_MOUSE Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 OS=Mus musculus OX=10090 GN=Ppip5k1 PE=1 SV=1,19.44,56,A2ARP1,Ppip5k1,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1,13.37145765,13.34672655,13.47585226,13.58498341,13.34965361,13.33033217,13.19465325,13.07263561,13.58662127,13.39045018,0.110796198,-0.100494479,0.322086875,13.3703366,1.162895364,-4.645471999,0.270956319,0.999980519,0,0
A2ARS0,sp|A2ARS0|ANR63_MOUSE Ankyrin repeat domain-containing protein 63 OS=Mus musculus OX=10090 GN=Ankrd63 PE=1 SV=1,6.7081,57,A2ARS0,Ankrd63,Ankyrin repeat domain-containing protein 63,12.95504139,12.91064606,13.263482,12.62427207,12.64526059,12.45391815,13.04229161,12.86074137,13.06381687,13.1855386,-0.041520901,-0.392915719,0.309873917,12.90050087,-0.262575275,-5.030648458,0.798104625,0.999980519,0,0
A2ASQ1,sp|A2ASQ1|AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1,33.563,58,A2ASQ1,Agrn,Agrin,14.58483789,14.28369141,14.56687955,14.88362923,14.51552469,14.03296958,14.25894878,14.57037845,14.38297496,14.55973481,0.205911236,-0.079945307,0.491767779,14.46395694,1.600716124,-4.334450924,0.139920875,0.999980519,0,0
